combo_id,trigger_target,ligand,receptor,niche_id,niche_name,combo_niche_effect,target_priority_score
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,12,H2_N12_NKRich,-0.8997399382564376,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,2,H3_N02_MASTRich,-0.9862136801394876,0.6946688494554188
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,2,H3_N02_MASTRich,-1.0228889764143865,0.7287279872768017
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,7,H3_N07_MonocyteRich,-1.0754592423003102,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,17,H3_N17_NKRich,-1.0827516287529082,0.6946688494554188
MFAP2|MFAP2->ITGB1,MFAP2,MFAP2,ITGB1,10,H3_N10_MASTRich,-1.1136898327902491,0.6946688494554188
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,17,H3_N17_NKRich,-1.355121565613645,0.7287279872768017
MFAP2|MFAP2->ITGA5,MFAP2,MFAP2,ITGA5,10,H3_N10_MASTRich,-1.4859536562617612,0.7287279872768017
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,3,H3_N03_EndothelialRich,2.2007296280614863,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,3,H3_N03_EndothelialRich,2.2007296280614863,1.04800157487428
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,13,H2_N13_FibroRich,1.1948677371208023,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,13,H2_N13_FibroRich,1.1948677371208023,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,8,H2_N08_FibroRich,1.1733756676626992,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,8,H2_N08_FibroRich,1.1733756676626992,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,14,H1_N14_FibroRich,1.0730176716898383,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,14,H1_N14_FibroRich,1.0730176716898383,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,4,H1_N04_FibroRich,0.8865168459913213,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,4,H1_N04_FibroRich,0.8865168459913213,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,6,H1_N06_TAMRich,0.7113106353654407,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,6,H1_N06_TAMRich,0.7113106353654407,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,15,H1_N15_FibroRich,0.545894942296077,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,15,H1_N15_FibroRich,0.545894942296077,0.8456202990960336
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,0,H1_N00_FibroRich,0.4584037775709264,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,0,H1_N00_FibroRich,0.4584037775709264,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,16,H2_N16_NKRich,-0.4475652271757509,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,16,H2_N16_NKRich,-0.4475652271757509,1.04800157487428
POSTN|POSTN->ITGB5,POSTN,POSTN,ITGB5,1,H2_N01_NKRich,-0.4718722393600471,0.8456202990960336
POSTN|POSTN->ITGAV,POSTN,POSTN,ITGAV,1,H2_N01_NKRich,-0.4718722393600471,1.04800157487428
